"ZCTA5CE10","AFFGEOID10","GEOID10","ALAND10","AWATER10","X","Y"
"22971","8600000US22971","22971","139208780","281330",-78.8001714210,37.7438968030
"22802","8600000US22802","22802","234372950","519431",-78.8619569510,38.4994843160
"24104","8600000US24104","24104","193700312","20089677",-79.4884231240,37.1360415150
"24054","8600000US24054","24054","278577285","541114",-79.7050984540,36.6739393530
"20112","8600000US20112","20112","101236072","1362071",-77.4248428330,38.6665143670
"05664","8600000US05664","05664","43125","0",-72.6531321290,44.1671178190
"23824","8600000US23824","23824","458723265","3740356",-77.9673302300,37.0896246000
"23551","8600000US23551","23551","875503","0",-76.2886290930,36.9240407060
"98610","8600000US98610","98610","952580139","7655112",-122.0707655500,45.8673957150
"98940","8600000US98940","98940","278564229","19657908",-121.0733138200,47.4046696130
"98597","8600000US98597","98597","289049780","9624744",-122.4924231100,46.8514590920
"98822","8600000US98822","98822","1131843286","5580333",-120.4756331200,47.8664402200
"26222","8600000US26222","26222","196084331","202792",-80.3649181240,38.6549232580
"24910","8600000US24910","24910","356196367","1943677",-80.6609622540,37.7370811600
"25508","8600000US25508","25508","201490666","711991",-82.0216704380,37.9634476310
"24898","8600000US24898","24898","616014","107796",-81.6055520610,37.5941668540
"25003","8600000US25003","25003","92856229","871896",-81.7861664430,38.2511452250
"25252","8600000US25252","25252","152185595","182750",-81.5325293800,38.8888117770
"26160","8600000US26160","26160","169463742","1576666",-81.4128292700,38.9784150640
"25185","8600000US25185","25185","178917","0",-81.2380783870,38.2351489980
"24528","8600000US24528","24528","253696373","1365456",-78.8783726850,37.0767831730
"24887","8600000US24887","24887","7537383","961",-81.3997979450,37.3745780780
"54983","8600000US54983","54983","220400836","15837246",-88.9335896750,44.3192196210
"54450","8600000US54450","54450","4324216","0",-89.0406445610,45.0043160730
"24319","8600000US24319","24319","208370996","623393",-81.6461150810,36.7480324030
"54967","8600000US54967","54967","8519746","162586",-88.9835645380,44.1309786280
"82604","8600000US82604","82604","-2147483648","18153746",-106.7693450300,42.8579238080
"96921","8600000US96921","96921","469596","0",144.7941704300,13.4590942210
"26582","8600000US26582","26582","259457843","617015",-80.3816676340,39.5297639520
"00601","8600000US00601","00601","166659745","799293",-66.7521768680,18.1800430480
"24736","8600000US24736","24736","74038266","28851",-81.2803296580,37.4446418800
"00917","8600000US00917","00917","3360010","46991",-66.0500517220,18.4213975370
"98827","8600000US98827","98827","824571646","11494023",-119.7669512200,48.8648647190
"28714","8600000US28714","28714","753515157","927830",-82.3114439050,35.8937567210
"74759","8600000US74759","74759","357979370","3146675",-95.7096035280,34.0481244610
"53007","8600000US53007","53007","1998102","27341",-88.0711823320,43.1084231510
"54830","8600000US54830","54830","929901114","47318008",-92.2185649120,46.1080737440
"23130","8600000US23130","23130","15346852","6133667",-76.2719014320,37.3955076180
"99550","8600000US99550","99550","233488467","7376318",-153.0283887800,57.9018808320
"82428","8600000US82428","82428","549872225","749008",-107.5260543800,44.3083977340
"04928","8600000US04928","04928","100227582","1987000",-69.2569250080,44.9496701360
"01199","8600000US01199","01199","28277","0",-72.6044304400,42.1208518070
"02203","8600000US02203","02203","82171","0",-71.0588572210,42.3604761310
"48220","8600000US48220","48220","11461909","0",-83.1351724180,42.4580789090
"60644","8600000US60644","60644","9074673","24575",-87.7574563430,41.8802105660
"06336","8600000US06336","06336","1589390","2459",-72.1950478860,41.5793357080
"59648","8600000US59648","59648","1729191676","19791766",-112.1178904400,47.0818843720
"08732","8600000US08732","08732","1402520","800217",-74.1449443750,39.9417485030
"60461","8600000US60461","60461","7200223","9275",-87.6908542850,41.5166496620
"48243","8600000US48243","48243","42720","0",-83.0395404540,42.3299544840
"38704","8600000US38704","38704","2851626","0",-91.0212938920,33.0071562730
"04469","8600000US04469","04469","623929","0",-68.6683137260,44.9011255140
"73737","8600000US73737","73737","839021371","2604703",-98.6231742360,36.2965293830
"45360","8600000US45360","45360","392775","21481",-84.0916587570,40.3306291270
"24554","8600000US24554","24554","305770220","1574135",-79.0626017610,37.1330777590
"19345","8600000US19345","19345","530611","0",-75.5653848600,40.0293604270
"36502","8600000US36502","36502","850178695","4520111",-87.4939293130,31.1407108450
"85922","8600000US85922","85922","1011071896","788321",-109.1367247300,33.5087413050
"85938","8600000US85938","85938","956083047","2550108",-109.3315424700,34.1701715000
"86033","8600000US86033","86033","-2147483648","2603598",-110.2288301300,36.6726526450
"92624","8600000US92624","92624","3595530","3107078",-117.6657031100,33.4592172420
"89019","8600000US89019","89019","1237297811","0",-115.7345312300,35.7662033480
"81325","8600000US81325","81325","1476500117","136716",-108.7279948000,37.9168796070
"06359","8600000US06359","06359","140572838","1868223",-71.8754939390,41.4696430410
"19703","8600000US19703","19703","10163638","2863836",-75.4576384210,39.8043619040
"33477","8600000US33477","33477","16200911","5419675",-80.0800469060,26.9139613850
"32925","8600000US32925","32925","8018169","22629261",-80.6228827480,28.2427283620
"32680","8600000US32680","32680","647248049","40709539",-83.0699166750,29.6286498180
"30426","8600000US30426","30426","307635965","5333457",-81.6469354490,33.0356744860
"06266","8600000US06266","06266","2455638","68166",-72.1702147620,41.6727132010
"30233","8600000US30233","30233","401693875","12656830",-83.9694236950,33.2919100810
"93254","8600000US93254","93254","353708974","2475877",-119.7710658600,34.9486516900
"34235","8600000US34235","34235","17042453","2097045",-82.4756230630,27.3675414170
"50476","8600000US50476","50476","101620776","81813",-92.7639885230,43.4523462380
"41230","8600000US41230","41230","585825749","7831733",-82.6663222000,38.0639812630
"60537","8600000US60537","60537","1713438","153498",-88.6024081190,41.5620241900
"04491","8600000US04491","04491","33522191","5855455",-67.4696969990,45.5706789060
"20712","8600000US20712","20712","1889113","12394",-76.9652553370,38.9430902010
"04732","8600000US04732","04732","1134489851","27819647",-68.7642173370,46.5072499460
"02093","8600000US02093","02093","56219578","2341419",-71.3552170420,42.0512996230
"49721","8600000US49721","49721","669800673","95176676",-84.4589640890,45.5789949510
"56173","8600000US56173","56173","74431688","0",-96.2459486270,43.5247680920
"55605","8600000US55605","55605","186371800","26715386",-89.7530896130,47.9631448140
"41086","8600000US41086","41086","166734755","1264757",-84.8723999200,38.6885219750
"01462","8600000US01462","01462","68442649","3418284",-71.7198963140,42.5896812110
"59221","8600000US59221","59221","734928236","15555866",-104.1922327100,47.9280703430
"59417","8600000US59417","59417","-2147483648","60223301",-113.1909157900,48.6726884630
"69360","8600000US69360","69360","1088162355","1296457",-102.4717030700,42.6994486650
