"City","State","Zip","Country","County","FIPS","x","y"
"Florence","KY","41042","US","Boone","","-84.6527198660","39.0011516770"
"Phoenix","AZ","85028","US","Maricopa","","-112.0090925000","33.5755640980"
"Redlands","CA","92373","US","San Bernardino","","-117.1506689500","34.0049527520"
"CHICAGO","IL","60626","US","Cook","","-87.6696196060","42.0090220200"
"LEXINGTON","KY","40502","US","Fayette","","-84.39094997372118","37.99424292682064"
"Lexington","KY","40504","US","Fayette","","-84.46130211470302","37.978116711849225"
"Richmond","KY","40475","US","Madison","","-84.36957148773126","37.857438016865615"
"Lexington","KY","40503","US","Fayette","","-84.58295006580536","37.92630484999455"
"Boulder","CO","80304","US","Boulder","","-105.2904784800","40.0454712700"
"Glen Allen","VA","23060","US","Henrico","","-77.5333689460","37.6598591070"
"Lexington","KY","40509","US","Fayette","","-84.29885854182517","38.0111262882844"
"Kevil","KY","42053","US","McCracken","","-88.8810512100","37.1129273730"
"Lexington","KY","40515","US","Fayette","","-84.39707478176246","37.9382905616801"
"Lexington","KY","40504","US","Fayette","","-84.51643627246999","37.944164444126876"
"Lexington","KY","40505","US","Fayette","","-84.54887209173762","38.158902425144525"
"Muscoda","WI","53573","US","Grant","","-90.4675112000","43.1854152030"
"Lexington","KY","40505","US","Fayette","","-84.41149770513815","38.037430755344175"
"Lexington","KY","40502","US","Fayette","","-84.40324664261189","38.09956611329145"
"West Kelowna","BC","V4T1B9","CA","","CA02","-124.75280414","54.760203158"
"Lexington","KY","40508","US","Fayette","","-84.52233545016358","38.030889812499346"
"Bowling Green","KY","42102","US","Warren","","-86.4182316720","37.0037042420"
"Frankfort","KY","40601","US","Franklin","","-84.91883665700512","38.239703101379135"
"Wilmore","KY","40390","US","Jessamine","","-84.6716660390","37.8534022770"
"Jeremie","","HT7120","HT","","HA14","-74.137175803","18.505510949"
"Beijing","10","100102","CN","New York","CH22","116.40617437","40.174455893"
"Carlisle","PA","17015","US","Cumberland","","-77.2311643470","40.1771890820"
